Date,HYUNDAI_MOBILE,SAMSUNG,LG,BTC-USD,GC=F
2016-10-04,139000.0,32280.0,47350.0,610.2039794921875,1266.300048828125
2016-10-05,140000.0,32380.0,48150.0,612.510986328125,1265.199951171875
2016-10-06,139000.0,33820.0,48600.0,613.02099609375,1249.800048828125
2016-10-07,136500.0,34120.0,48400.0,617.1209716796875,1248.9000244140625
2016-10-08,,,,619.1079711914062,
2016-10-09,,,,616.7520141601562,
2016-10-10,133500.0,33600.0,50900.0,618.9940185546875,
2016-10-11,134500.0,30900.0,53500.0,641.072021484375,1253.0
2016-10-12,136500.0,30700.0,51600.0,636.1920166015625,1251.0999755859375
2016-10-13,134000.0,31140.0,50200.0,636.7860107421875,1255.0
2016-10-14,133000.0,31540.0,50300.0,640.3779907226562,1253.0999755859375
2016-10-15,,,,638.64599609375,
2016-10-16,,,,641.6309814453125,
2016-10-17,133000.0,31800.0,50000.0,639.1929931640625,1254.4000244140625
2016-10-18,134500.0,31780.0,49900.0,637.9600219726562,1260.800048828125
2016-10-19,133000.0,32500.0,49900.0,630.52001953125,1267.9000244140625
2016-10-20,132000.0,32400.0,50700.0,630.8569946289062,1265.5999755859375
2016-10-21,133500.0,31780.0,50300.0,632.8280029296875,1265.9000244140625
2016-10-22,,,,657.2940063476562,
2016-10-23,,,,657.0709838867188,
2016-10-24,134500.0,32160.0,51300.0,653.760986328125,1262.0
2016-10-25,138000.0,31940.0,50100.0,657.5880126953125,1271.9000244140625
2016-10-26,137500.0,31340.0,50300.0,678.3040161132812,1264.800048828125
2016-10-27,138000.0,31460.0,49150.0,688.31298828125,1267.9000244140625
2016-10-28,140500.0,32280.0,47600.0,689.6510009765625,1275.5
2016-10-29,,,,714.47900390625,
2016-10-30,,,,701.864013671875,
2016-10-31,140000.0,32780.0,47800.0,700.9719848632812,1271.5
2016-11-01,141500.0,33040.0,47350.0,729.7930297851562,1286.4000244140625
2016-11-02,139500.0,32860.0,47400.0,740.8289794921875,1306.800048828125
2016-11-03,136500.0,32320.0,47500.0,688.7000122070312,1302.0999755859375
2016-11-04,136000.0,32540.0,47100.0,703.2349853515625,1303.300048828125
2016-11-05,,,,703.4180297851562,
2016-11-06,,,,711.52197265625,
2016-11-07,137000.0,32800.0,47350.0,703.1309814453125,1278.300048828125
2016-11-08,138500.0,32880.0,47750.0,709.8480224609375,1273.4000244140625
2016-11-09,134000.0,31920.0,45700.0,723.2730102539062,1272.5999755859375
2016-11-10,129000.0,32980.0,46700.0,715.5339965820312,1265.5
2016-11-11,131500.0,31960.0,45750.0,716.4110107421875,
2016-11-12,,,,705.0540161132812,
2016-11-13,,,,702.031005859375,
2016-11-14,132000.0,31060.0,46400.0,705.02099609375,1221.199951171875
2016-11-15,130500.0,30780.0,47050.0,711.6190185546875,1224.0
2016-11-16,131000.0,31160.0,47000.0,744.197998046875,1223.4000244140625
2016-11-17,132000.0,31360.0,46850.0,740.9769897460938,1216.5
2016-11-18,129500.0,31720.0,46850.0,751.5850219726562,1208.5
2016-11-19,,,,751.6160278320312,
2016-11-20,,,,731.0260009765625,
2016-11-21,133500.0,31860.0,46050.0,739.2479858398438,1209.5999755859375
2016-11-22,133500.0,32800.0,45900.0,751.3469848632812,1211.0
2016-11-23,134000.0,32980.0,46600.0,744.593994140625,1189.0999755859375
2016-11-24,135000.0,33000.0,46000.0,740.2890014648438,
2016-11-25,136000.0,33000.0,45800.0,741.6489868164062,1178.199951171875
2016-11-26,,,,735.3820190429688,
2016-11-27,,,,732.0349731445312,
2016-11-28,135000.0,33540.0,45300.0,735.81298828125,1190.5999755859375
2016-11-29,134500.0,33540.0,45350.0,735.60400390625,1187.9000244140625
2016-11-30,133000.0,34920.0,44900.0,745.6909790039062,1170.800048828125
2016-12-01,132000.0,34980.0,46250.0,756.7739868164062,1166.9000244140625
2016-12-02,133500.0,34540.0,46350.0,777.9439697265625,1175.0999755859375
2016-12-03,,,,771.155029296875,
2016-12-04,,,,773.8720092773438,
2016-12-05,134000.0,34360.0,46000.0,758.7000122070312,1174.0
2016-12-06,136500.0,34960.0,47100.0,764.2239990234375,1167.5999755859375
2016-12-07,136500.0,35440.0,46950.0,768.1320190429688,1175.0
2016-12-08,142000.0,35800.0,47500.0,770.8099975585938,1169.800048828125
2016-12-09,144000.0,35600.0,47950.0,772.7940063476562,1159.4000244140625
2016-12-10,,,,774.6500244140625,
2016-12-11,,,,769.7310180664062,
2016-12-12,144500.0,35040.0,48150.0,780.0869750976562,1163.5
2016-12-13,145000.0,35320.0,48850.0,780.5560302734375,1156.699951171875
2016-12-14,143500.0,35540.0,48300.0,781.4810180664062,1161.300048828125
2016-12-15,142000.0,35180.0,48150.0,778.0880126953125,1127.800048828125
2016-12-16,139500.0,35860.0,47850.0,784.906982421875,1135.300048828125
2016-12-17,,,,790.8289794921875,
2016-12-18,,,,790.530029296875,
2016-12-19,142000.0,35900.0,47700.0,792.7139892578125,1140.5
2016-12-20,143500.0,36240.0,47800.0,800.8759765625,1131.5
2016-12-21,143500.0,36100.0,48200.0,834.281005859375,1131.0999755859375
2016-12-22,142000.0,36180.0,49400.0,864.5399780273438,1128.800048828125
2016-12-23,144000.0,35640.0,49650.0,921.9840087890624,1131.9000244140625
2016-12-24,,,,898.822021484375,
2016-12-25,,,,896.1829833984375,
2016-12-26,144500.0,35960.0,50900.0,907.6099853515624,
2016-12-27,144500.0,35980.0,50900.0,933.197998046875,1137.300048828125
2016-12-28,143500.0,35760.0,51500.0,975.9210205078124,1139.4000244140625
2016-12-29,146000.0,36040.0,51600.0,973.4970092773438,1156.4000244140625
2016-12-30,,,,961.2379760742188,1150.0
2016-12-31,,,,963.7429809570312,
2017-01-01,,,,998.3250122070312,
2017-01-02,150000.0,36100.0,51600.0,1021.75,
2017-01-03,153000.0,36480.0,54300.0,1043.8399658203125,1160.4000244140625
2017-01-04,154000.0,36160.0,53800.0,1154.72998046875,1163.800048828125
2017-01-05,153500.0,35560.0,53600.0,1013.3800048828124,1179.699951171875
2017-01-06,151000.0,36200.0,52600.0,902.2009887695312,1171.9000244140625
2017-01-07,,,,908.5850219726562,
2017-01-08,,,,911.198974609375,
2017-01-09,150500.0,37220.0,53600.0,902.8280029296876,1183.5
2017-01-10,152000.0,37240.0,51800.0,907.6790161132812,1184.199951171875
